State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
6,CA,56,WY,WYOMING,636,1086,19405
6,CA,46,SD,SOUTH DAKOTA,471,808,17448
6,CA,50,VT,VERMONT,443,634,16708
6,CA,38,ND,NORTH DAKOTA,382,667,12600
6,CA,10,DE,DELAWARE,370,618,16236
6,CA,54,WV,WEST VIRGINIA,321,522,11042
8,CO,96,CO,CO Total Mig - US & For,78902,147455,3598236
8,CO,97,CO,CO Total Mig - US,76764,142526,3505466
8,CO,98,CO,CO Total Mig - Foreign,2138,4929,92770
8,CO,8,CO,CO Non-Migrants,1775382,3826019,108367489
8,CO,6,CA,CALIFORNIA,9300,17654,455221
8,CO,48,TX,TEXAS,7452,15832,346438
8,CO,12,FL,FLORIDA,4117,7435,266847
8,CO,4,AZ,ARIZONA,4075,7794,166678
8,CO,17,IL,ILLINOIS,2847,4628,144917
8,CO,36,NY,NEW YORK,2447,3867,114989
8,CO,35,NM,NEW MEXICO,2311,4469,93688
8,CO,53,WA,WASHINGTON,2174,3927,90884
8,CO,57,FR,Foreign,2138,4929,92770
8,CO,26,MI,MICHIGAN,2119,3409,77549
8,CO,20,KS,KANSAS,1940,3771,79566
8,CO,51,VA,VIRGINIA,1888,3734,120547
8,CO,32,NV,NEVADA,1833,3526,78798
8,CO,13,GA,GEORGIA,1810,3708,71557
8,CO,56,WY,WYOMING,1756,3079,68241
8,CO,39,OH,OHIO,1722,2972,77006
8,CO,29,MO,MISSOURI,1716,3127,79931
8,CO,27,MN,MINNESOTA,1712,2689,71387
8,CO,37,NC,NORTH CAROLINA,1637,3282,69708
8,CO,31,NE,NEBRASKA,1558,2832,62317
8,CO,49,UT,UTAH,1525,3372,61589
8,CO,42,PA,PENNSYLVANIA,1488,2429,63660
8,CO,55,WI,WISCONSIN,1431,2317,64171
8,CO,40,OK,OKLAHOMA,1301,2808,54594
8,CO,41,OR,OREGON,1247,2169,47109
8,CO,19,IA,IOWA,1169,1923,46892
8,CO,47,TN,TENNESSEE,1091,2145,42813
8,CO,18,IN,INDIANA,1065,1892,46075
8,CO,25,MA,MASSACHUSETTS,1044,1512,52532
8,CO,24,MD,MARYLAND,934,1679,50120
8,CO,34,NJ,NEW JERSEY,900,1505,64725
8,CO,15,HI,HAWAII,830,1721,34125
8,CO,30,MT,MONTANA,793,1325,26294
8,CO,16,ID,IDAHO,700,1450,26887
8,CO,45,SC,SOUTH CAROLINA,658,1335,24165
8,CO,22,LA,LOUISIANA,657,1321,30980
8,CO,21,KY,KENTUCKY,649,1457,26158
8,CO,46,SD,SOUTH DAKOTA,603,1023,20491
8,CO,1,AL,ALABAMA,593,1205,25893
8,CO,2,AK,ALASKA,571,1088,24717
8,CO,5,AR,ARKANSAS,496,968,20558
8,CO,9,CT,CONNECTICUT,480,738,24605
8,CO,38,ND,NORTH DAKOTA,359,583,14363
8,CO,33,NH,NEW HAMPSHIRE,309,454,13473
8,CO,28,MS,MISSISSIPPI,301,571,10850
8,CO,23,ME,MAINE,280,405,8608
8,CO,50,VT,VERMONT,246,343,7808
8,CO,11,DC,DISTRICT OF COLUMBIA,212,312,16839
8,CO,54,WV,WEST VIRGINIA,163,279,6980
8,CO,44,RI,RHODE ISLAND,143,260,6202
8,CO,10,DE,DELAWARE,112,202,4918
9,CT,96,CT,CT Total Mig - US & For,32415,56130,2134638
9,CT,97,CT,CT Total Mig - US,31561,54324,2038822
9,CT,98,CT,CT Total Mig - Foreign,854,1806,95816
9,CT,9,CT,CT Non-Migrants,1348693,2789649,101699729
9,CT,36,NY,NEW YORK,8767,15468,756704
9,CT,25,MA,MASSACHUSETTS,3607,5602,193241
9,CT,12,FL,FLORIDA,2850,4923,110567
9,CT,34,NJ,NEW JERSEY,1644,2996,149864
9,CT,6,CA,CALIFORNIA,1616,2734,116880
9,CT,42,PA,PENNSYLVANIA,1165,1913,64332
9,CT,44,RI,RHODE ISLAND,1074,1714,50674
9,CT,51,VA,VIRGINIA,865,1609,48116
9,CT,37,NC,NORTH CAROLINA,861,1536,42989
9,CT,57,FR,Foreign,854,1806,95816
9,CT,48,TX,TEXAS,787,1429,56198
9,CT,13,GA,GEORGIA,661,1282,35923
9,CT,17,IL,ILLINOIS,598,1045,49686
9,CT,39,OH,OHIO,492,841,40884
9,CT,24,MD,MARYLAND,491,862,27962
9,CT,33,NH,NEW HAMPSHIRE,481,736,23640
9,CT,45,SC,SOUTH CAROLINA,463,865,14909
9,CT,23,ME,MAINE,413,650,15252
9,CT,26,MI,MICHIGAN,406,719,25225
9,CT,4,AZ,ARIZONA,378,592,16573
9,CT,53,WA,WASHINGTON,334,691,19201
9,CT,8,CO,COLORADO,329,495,15909
9,CT,50,VT,VERMONT,284,423,12193
9,CT,18,IN,INDIANA,230,408,13774
9,CT,47,TN,TENNESSEE,216,419,10178
9,CT,27,MN,MINNESOTA,203,350,16222
9,CT,55,WI,WISCONSIN,199,355,12829
9,CT,29,MO,MISSOURI,186,322,12724
9,CT,11,DC,DISTRICT OF COLUMBIA,179,226,12006
9,CT,32,NV,NEVADA,163,279,7835
9,CT,19,IA,IOWA,140,220,5102
9,CT,41,OR,OREGON,136,228,4735
9,CT,15,HI,HAWAII,133,282,5764
9,CT,1,AL,ALABAMA,123,224,5008
9,CT,21,KY,KENTUCKY,121,205,5026
9,CT,49,UT,UTAH,120,254,3901
9,CT,22,LA,LOUISIANA,111,184,4284
9,CT,10,DE,DELAWARE,100,160,4066
9,CT,35,NM,NEW MEXICO,87,137,4252
9,CT,40,OK,OKLAHOMA,77,130,3584
9,CT,20,KS,KANSAS,73,141,3577
9,CT,28,MS,MISSISSIPPI,68,123,2105
9,CT,31,NE,NEBRASKA,62,111,3027
9,CT,54,WV,WEST VIRGINIA,57,94,2691
9,CT,5,AR,ARKANSAS,45,75,2390
9,CT,2,AK,ALASKA,42,65,1631
9,CT,16,ID,IDAHO,36,70,2519
9,CT,30,MT,MONTANA,30,43,769
9,CT,56,WY,WYOMING,26,42,957
9,CT,46,SD,SOUTH DAKOTA,23,37,728
9,CT,38,ND,NORTH DAKOTA,9,15,217
10,DE,96,DE,DE Total Mig - US & For,13414,24227,649891
10,DE,97,DE,DE Total Mig - US,13181,23739,639924
10,DE,98,DE,DE Total Mig - Foreign,233,488,9967
10,DE,10,DE,DE Non-Migrants,330085,693039,19436589
10,DE,42,PA,PENNSYLVANIA,3351,5971,166856
10,DE,24,MD,MARYLAND,2506,4467,129190
10,DE,34,NJ,NEW JERSEY,1538,2757,81489
10,DE,36,NY,NEW YORK,867,1506,41193
10,DE,12,FL,FLORIDA,716,1254,24875
10,DE,51,VA,VIRGINIA,618,1167,33263
10,DE,37,NC,NORTH CAROLINA,352,668,13642
10,DE,6,CA,CALIFORNIA,331,568,15607
10,DE,48,TX,TEXAS,325,587,14886
10,DE,13,GA,GEORGIA,245,503,10639
10,DE,57,FR,Foreign,233,488,9967
10,DE,17,IL,ILLINOIS,167,311,10017
10,DE,39,OH,OHIO,166,281,6943
10,DE,25,MA,MASSACHUSETTS,151,231,8156
10,DE,9,CT,CONNECTICUT,131,231,7992
10,DE,45,SC,SOUTH CAROLINA,122,255,4106
10,DE,4,AZ,ARIZONA,120,227,5545
10,DE,26,MI,MICHIGAN,105,189,5207
